sentence,hate,category
যত্তসব পাপন শালার ফাজলামী!!!!!,1,sports
পাপন শালা রে রিমান্ডে নেওয়া দরকার,1,sports
জিল্লুর রহমান স্যারের ছেলে এতো বড় জারজ হবে এটা একটা দেশের মানুষ কোনো দিন ও ভাবতে পারেনি।ধন্যবাদ তাহসিন ভাই।,1,sports
শালা লুচ্চা দেখতে পাঠার মত দেখা যায়,1,sports
তুই তো শালা গাজা খাইছচ।তুর মার হেডায় খেলবে সাকিব,1,sports
এটা কুন দরনের কেলা ফাইজলামি তাস্কিন রে চর মারা দরকার,1,sports
পাপন ভর মাদা চোদ পাপনে পদতেক চাই,1,sports
দুরো সালার পুদ চুপথাক,1,sports
কুত্তার বাছচা পাপন,1,sports
বাল ছাল তর সাউয়া😡,1,sports
তোর কপালে জুতা মারি শালার পুত,1,sports
পাপনে পাগল হয়াছে,1,sports
দেখেছো মাগি না হিজরা বোঝা যাচ্ছে না। দেখে মনে হচ্ছে হিজরা,1,sports
হালার পু পাপন,1,sports
শালায় এই কারণেই খেলায় ডাব্বা মারে😡😠,1,sports
ব্ব,1,sports
